Date,Region,Class,Commodity,Variety,Organic,Environment,Unit,Number of Stores,Weighted Avg Price,Low Price,High Price,% Marked Local
11/6/2020,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,3 lb bag,260,3.5,3.5,3.5,
11/6/2020,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,5 lb bag,219,3.55,2.99,3.99,
11/6/2020,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,per pound,"1,554",1.22,0.5,1.49,20
11/6/2020,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,Y,,2 lb bag,146,2.5,2.5,2.5,
11/6/2020,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,Y,,3 lb bag,113,3.99,3.99,3.99,
11/6/2020,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,Y,,per pound,24,1.96,1.88,2.49,50
11/6/2020,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,3 lb bag,260,3.5,3.5,3.5,
11/6/2020,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,5 lb bag,219,3.55,2.99,3.99,
11/6/2020,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,per pound,"1,397",1.23,0.44,1.49,23
11/6/2020,SOUTHWEST U.S.,FRUITS,APPLES,GALA,Y,,2 lb bag,191,2.62,2.5,2.99,
11/6/2020,SOUTHWEST U.S.,FRUITS,APPLES,GALA,Y,,3 lb bag,126,3.99,3.99,3.99,
11/6/2020,SOUTHWEST U.S.,FRUITS,APPLES,GALA,Y,,per pound,44,1.52,1.49,1.58,
11/6/2020,SOUTHWEST U.S.,FRUITS,APPLES,GOLDEN DELICIOUS,,,per pound,30,0.79,0.79,0.79,
11/6/2020,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,,,3 lb bag,260,3.5,3.5,3.5,
11/6/2020,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,,,5 lb bag,219,3.55,2.99,3.99,
11/6/2020,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,,,per pound,679,1.11,0.79,1.59,47
11/6/2020,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,Y,,2 lb bag,191,2.62,2.5,2.99,
11/6/2020,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,Y,,per pound,51,1.58,1.49,1.88,
11/6/2020,SOUTHWEST U.S.,FRUITS,APPLES,HONEYCRISP,,,per pound,558,1.67,0.5,2.99,
11/6/2020,SOUTHWEST U.S.,FRUITS,APPLES,HONEYCRISP,Y,,per pound,514,3.25,2.49,3.99,
11/6/2020,SOUTHWEST U.S.,FRUITS,APPLES,JONAGOLD,,,per pound,9,1.52,0.99,1.59,
11/6/2020,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,,,per pound,92,0.64,0.44,0.99,
